Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
PEFIAT;PEFIAT2PFE-2        ;LT  230 kV MATA NORTE           / PAU FERRO            C S2 PE          ;LTR;BASICA         ;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;;630;756;630;756;;;0.60;3.04;6;32;;230;;11/10/2022;31/07/2021
PEFIAT;PEFIAT2PFE-1        ;LT  230 kV MATA NORTE           / PAU FERRO            C S1 PE          ;LTR;BASICA         ;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;;630;756;630;756;;;0.60;3.04;6;32;;230;;11/10/2022;31/07/2021
BABJD ;BABJD-5JBA31MG      ;LT  500 kV BOM.JES.LAPA II      / JANAUBA 3            C L4 BA/MG       ;LTR;BASICA         ;JANAÚBA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                  ;013/2015 2;2950;4000;2950;4000;;;0.16;2.31;678;304;;500;;01/09/2021;09/02/2022
PICNP ;PICNP-5SJI-2        ;LT  500 kV CURRAL PIAUI II      / S.JOAO PIAUI         C 2  PI          ;LTR;BASICA         ;;;;;;;;;;;;1;;500;30/09/2017;;31/12/2022
PICNP ;PICNP-5MLD-2CE      ;LT  500 kV CURRAL PIAUI II      / MILAGRES II          C 2  PI/CE       ;LTR;BASICA         ;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;;;;;;;;;;;1;;500;30/09/2017;;31/07/2022
RSSCH2;RSSCH22CHA-1        ;LT  230 kV SCHARLAU 2           / CHARQUEADAS          C 1  RS          ;LTR;BASICA         ;CPFL TRANSMISSAO S.A.                                          ;1364/08   ;450;639;450;639;;;1.70;6.30;11;73;;230;31/12/2006;16/11/2015;15/11/2015
SPCAV ;SPCAV-4FDI-2        ;LT  440 kV CABREUVA             / FERNAO DIAS          C 2  SP          ;LTR;BASICA         ;;;;;;;;;;;;71;;440;28/02/2018;;31/12/2022
RNJCD ;RNJCD-2JCT-2        ;LT  230 kV JOAO CAMARA 2        / J. CAMARA III        C N2 RN          ;LTR;BASICA         ;ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A.                ;013/2015  ;1581;1960;1581;1960;;;0.06;0.59;2;10;;230;31/01/2019;06/04/2019;31/03/2019
RNJCD ;RNJCD-2JCT-1        ;LT  230 kV JOAO CAMARA 2        / J. CAMARA III        C N1 RN          ;LTR;BASICA         ;ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A.                ;013/2015  ;1581;1960;1581;1960;;;0.06;0.59;2;10;;230;31/01/2019;06/04/2019;31/03/2019
RNACT ;RNACT-5JCT-2        ;LT  500 kV ACU III              / J. CAMARA III        C V3 RN          ;LTR;BASICA         ;GIOVANNI SANGUINETTI TRANSMISSORA DE ENERGIA S.A.              ;013/2015 2;3164;3923;3164;3923;;;0.11;1.55;218;143;;500;31/01/2019;17/01/2020;30/07/2020
RNACT ;RNACT-5MLD-2CE      ;LT  500 kV ACU III              / MILAGRES II          C C2 RN/CE       ;LTR;BASICA         ;GIOVANNI SANGUINETTI TRANSMISSORA DE ENERGIA S.A.              ;013/2015 2;3600;4400;3600;4400;;;0.21;3.17;445;292;;500;31/01/2019;11/04/2020;30/07/2020
PIGBD ;PIGBD-5RGV-1        ;LT  500 kV GILBUES II           / RIB.GONCALVES        C 1  PI          ;LTR;BASICA         ;;;;;;;;;;;;257;;500;31/01/2019;;31/12/2022
PICHP2;PICP2-2CP3-1        ;LT  230 kV CHAPADA II           / CHAPADA III          C L3 PI          ;LTR;BASICA         ;SIMÕES TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                   ;002/2018  ;630;795;630;795;;;0.26;1.36;3;15;;230;31/01/2018;07/05/2022;21/03/2022
PICHP1;PICH1-2CP2-1        ;LT  230 kV CHAPADA I            / CHAPADA II           C L1 PI          ;LTR;BASICA         ;SIMÕES TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                   ;002/2018  ;630;795;630;795;;;0.21;1.12;2;12;;230;31/01/2018;08/05/2022;21/03/2022
BABRA ;BABRA-2UTCG1        ;LT  230 kV BARREIRAS            / UT CAM GRANDE        C 1  BA          ;LTR;COMPLEMENTAR   ;Campo Grande Bioeletricidade                                   ;;;;;;;;;;;97;;230;;;09/09/9999
CEMLD ;CEMLD-5QMN-1PI      ;LT  500 kV MILAGRES II          / QUEIMADA NOVA 2      C C3 CE/PI       ;LTR;BASICA         ;ARGO IV TRANSMISSÃO DE ENERGIA S.A.                            ;005/2016  ;2880;4000;2880;4000;;;0.16;2.34;687;313;;500;31/01/2019;12/07/2021;22/08/2021
PICNP ;PICNP-5QMN-1        ;LT  500 kV CURRAL PIAUI II      / QUEIMADA NOVA 2      C V1 PI          ;LTR;BASICA         ;TRANSMISSORA SERTANEJA DE ELETRICIDADE S.A.                    ;013/2015 2;2880;4000;2880;4000;;;0.06;0.84;238;110;;500;31/01/2019;25/05/2021;09/02/2022
BABRT ;BABRT-5QMN-2PI      ;LT  500 kV BURITIRAMA           / QUEIMADA NOVA 2      C L2 BA/PI       ;LTR;BASICA         ;Equatorial Transmissora 3 SPE SA                               ;013/2015 2;2880;4000;2880;4000;;;0.19;2.75;825;373;;500;31/01/2019;26/05/2021;30/11/2020
BABRT ;BABRT-5GOR-1        ;LT  500 kV BURITIRAMA           / GENTIO OURO II       C L7 BA          ;LTR;BASICA         ;TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ;013/2015 2;3420;4205;3420;4205;;;0.12;1.89;269;175;;500;31/01/2019;22/01/2020;09/02/2022
BABRT ;BABRT-5GBD-1PI      ;LT  500 kV BURITIRAMA           / GILBUES II           C L6 BA/PI       ;LTR;BASICA         ;TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ;013/2015 2;3420;4205;3420;4205;;;0.13;2.06;295;192;;500;31/01/2019;22/01/2020;09/02/2022
BABRT ;BABRT-5QMN-1PI      ;LT  500 kV BURITIRAMA           / QUEIMADA NOVA 2      C L3 BA/PI       ;LTR;BASICA         ;TRANSMISSORA SERTANEJA DE ELETRICIDADE S.A.                    ;013/2015 2;2880;4000;2880;4000;;;0.19;2.75;824;373;;500;31/01/2019;10/01/2022;09/02/2022
BABRD ;BABRD-5RDE-2        ;LT  500 kV BARREIRAS II         / RIO DAS EGUAS        C N5 BA          ;LTR;BASICA         ;Equatorial Transmissora 1 SPE SA                               ;013/2015 2;2880;4000;2880;4000;;;0.13;1.89;549;251;;500;31/01/2019;01/05/2020;31/01/2020
BAJZT ;BAJZT-5OUR-1        ;LT  500 kV JUAZEIRO III         / OUROLANDIA II        C F1 BA          ;LTR;BASICA         ;ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.                       ;013/2015  ;2080;2490;2080;2490;;;0.13;2.00;284;186;;500;31/01/2019;19/07/2020;31/05/2020
BABRD ;BABRD-5BRT-1        ;LT  500 kV BARREIRAS II         / BURITIRAMA           C N6 BA          ;LTR;BASICA         ;Equatorial Transmissora 2 SPE SA                               ;013/2015 2;2880;4000;2880;4000;;;0.11;1.59;458;210;;500;31/01/2019;22/01/2020;17/01/2020
MAMR  ;MAMR--5LD--3        ;LT  500 kV MIRANDA II           / SAO LUIS II          C 3  MA          ;LTR;BASICA         ;HORIZON TRANSMISSÃO MA I S.A.                                  ;005/2016  ;3175;4000;3175;4000;;;0.07;1.13;173;116;;500;31/01/2019;04/10/2021;11/08/2022
MALD  ;MALD--5LQ--2        ;LT  500 kV SAO LUIS II          / SAO LUIS IV          C 2  MA          ;LTR;BASICA         ;HORIZON TRANSMISSÃO MA I S.A.                                  ;005/2016  ;3175;4000;3175;4000;;;0.00;0.06;7;5;;500;31/01/2019;01/04/2021;24/12/2021
MALD  ;MALD--5LQ--1        ;LT  500 kV SAO LUIS II          / SAO LUIS IV          C 1  MA          ;LTR;BASICA         ;HORIZON TRANSMISSÃO MA I S.A.                                  ;005/2016  ;3175;4000;3175;4000;;;0.00;0.06;7;5;;500;31/01/2019;01/04/2021;24/12/2021
MALD  ;MALD--2LQ--1        ;LT  230 kV SAO LUIS II          / SAO LUIS IV          C 1  MA          ;LTR;BASICA         ;HORIZON TRANSMISSÃO MA I S.A.                                  ;005/2016  ;1380;1740;1380;1740;;;0.04;0.33;1;1;;230;31/01/2019;21/05/2021;11/08/2022
MAUTPI;MAUTPI2LQ--1        ;LT  230 kV UT.POR.ITAQUI        / SAO LUIS IV          C 1  MA          ;LTR;COMPLEMENTAR   ;ITAQUI GERACAO DE ENERGIA S/A                                  ;005/2016  ;;;;;;;0.09;0.71;3;10;;230;31/01/2019;10/05/2021;11/08/2022
CEIBD ;CEIBD-5PNB-1PI      ;LT  500 kV IBIAPINA II          / PARNAIBA III         C 1  CE/PI       ;LTR;BASICA         ;;;;;;;;;;;;108;;500;31/01/2019;;31/12/2022
MABAC ;MABAC-5MR--2        ;LT  500 kV BACABEIRA            / MIRANDA II           C 2  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;013/2015  ;3000;3780;3000;3000;;Disj e chav sec;0.05;0.73;106;69;;500;31/01/2019;07/09/2019;27/06/2019
MABAC ;MABAC-5LD--2        ;LT  500 kV BACABEIRA            / SAO LUIS II          C 2  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;013/2015  ;3000;3780;3000;3780;;Disjunt. e chaves;0.03;0.42;61;40;;500;31/01/2019;07/09/2019;27/06/2019
MABAC ;MABAC-5LD--1        ;LT  500 kV BACABEIRA            / SAO LUIS II          C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;013/2015  ;2344;2953;2344;2953;;;0.04;0.52;51;40;;500;31/01/2019;26/09/2019;07/10/2019
MABAC ;MABAC-5MR--1        ;LT  500 kV BACABEIRA            / MIRANDA II           C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;013/2015  ;2344;2953;2344;2953;;;0.08;0.89;104;69;;500;31/01/2019;26/09/2019;07/10/2019
MABAC ;MABAC-5PNB-2PI      ;LT  500 kV BACABEIRA            / PARNAIBA III         C 2  MA/PI       ;LTR;BASICA         ;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;013/2015  ;3000;3700;3000;3700;;;0.20;3.15;452;294;;500;31/01/2019;07/09/2019;27/06/2019
CEIBD ;CEIBD-5TIA-1        ;LT  500 kV IBIAPINA II          / TIANGUA II           C 1  CE          ;LTR;BASICA         ;;;;;;;;;0.02;0.02;;18;;500;31/01/2019;;31/12/2022
CESBT ;CESBT-5TIA-2        ;LT  500 kV SOBRAL III           / TIANGUA II           C 2  CE          ;LTR;BASICA         ;;;;;;;;;0.02;0.02;;18;;500;31/01/2019;;31/12/2022
CESBT ;CESBT-5TIA-1        ;LT  500 kV SOBRAL III           / TIANGUA II           C V5 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;013/2015  ;2452;3090;2452;3090;;;0.07;1.09;158;108;;500;31/01/2019;20/09/2019;27/06/2021
PITSD ;PITSD-5TIA-1CE      ;LT  500 kV TERESINA II          / TIANGUA II           C V9 PI/CE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;013/2015  ;2452;3090;2452;3090;;;0.19;2.87;417;248;;500;31/01/2019;18/09/2019;27/06/2021
MABAC ;MABAC-5PNB-1PI      ;LT  500 kV BACABEIRA            / PARNAIBA III         C 1  MA/PI       ;LTR;BASICA         ;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;013/2015  ;3000;3700;3000;3700;;;0.21;3.19;458;298;;500;31/01/2019;07/09/2019;27/06/2019
CEAUT ;CEAUT-5TIA-1        ;LT  500 kV ACARAU III           / TIANGUA II           C 1  CE          ;LTR;BASICA         ;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;013/2015  ;3000;3700;3000;3700;;;0.11;1.69;242;158;;500;31/01/2019;18/09/2019;27/06/2019
CEAUT ;CEAUT-5PED-1        ;LT  500 kV ACARAU III           / PECEM II             C L1 CE          ;LTR;BASICA         ;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;013/2015  ;3000;3700;3000;3700;;;0.12;2.33;260;169;;500;31/01/2019;07/09/2019;27/06/2019
CEAUT ;CEAUT-5PNB-1PI      ;LT  500 kV ACARAU III           / PARNAIBA III         C 1  CE/PI       ;LTR;BASICA         ;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;013/2015  ;3000;3700;3000;3700;;;0.13;2.05;295;192;;500;31/01/2019;07/09/2019;27/06/2019
PAMAR ;PAMAR-5TC--1        ;LT  500 kV MARITUBA             / TUCURUI              C 1  PA          ;LTR;BASICA         ;MARITUBA TRANSMISSÃO DE ENERGIA S.A.                           ;002/2018  ;3000;3700;3000;3700;;;0.22;3.53;544;380;;500;31/01/2020;05/07/2023;31/05/2023
BAPOT ;BAPOD-5SPU-1        ;LT  500 kV POCOES III           / SAPEACU              C M1 BA          ;LTR;BASICA         ;TROPICÁLIA TRANSMISSORA DE ENERGIA S A                         ;013/2015 2;2890;4000;2890;4000;;;0.13;1.86;537;246;;500;31/01/2019;15/01/2021;28/01/2021
GOJAT ;GOJATT2RVN-2        ;LT  230 kV JATAI                / R.VERDE NORTE        C 2  GO          ;LTR;BASICA         ;ENERGISA GOIÁS TRANSMISSORA DE ENERGIA I S.A.                  ;005/2016  ;1680;2065;1680;2065;;;1.04;8.89;34;136;;230;31/01/2018;14/03/2020;11/08/2021
GOJAT ;GOJATT2RVN-1        ;LT  230 kV JATAI                / R.VERDE NORTE        C 1  GO          ;LTR;BASICA         ;ENERGISA GOIÁS TRANSMISSORA DE ENERGIA I S.A.                  ;005/2016  ;1680;2065;1680;2065;;;1.04;8.89;34;136;;230;31/01/2018;14/03/2020;11/08/2021
MGMESQ;MGMESQ5MTUM1        ;LT  500 kV MESQUITA             / MUTUM                C 1  MG          ;LTR;BASICA         ;MGE TRANSMISSÃO S.A.                                           ;013/2015 2;2400;3050;2400;3050;;;0.13;1.90;161;136;;500;31/01/2019;28/05/2021;28/02/2021
MGMTUM;MGMTUM5STVD1ES      ;LT  500 kV MUTUM                / VIANA 2              C 1  MG/ES       ;LTR;BASICA         ;MGE TRANSMISSÃO S.A.                                           ;013/2015 2;2400;3050;2400;3050;;;0.11;1.66;140;136;;500;31/01/2019;28/05/2021;28/02/2021
MGGVA6;MGCPEN2GVA61        ;LT  230 kV G.VALADARES 6        / CONSE. PENA          C 1  MG          ;LTR;BASICA         ;GRAUNA TRANSMISSORA DE ENERGIA S.A.                            ;013/2015 2;838;980;838;980;;;1.36;6.89;12;71;;230;31/01/2019;23/09/2020;30/11/2020
MGGVA6;MGGVA62MESQ1        ;LT  230 kV G.VALADARES 6        / MESQUITA             C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;013/2015 2;760;760;760;760;;;1.83;8.94;17;95;;230;31/01/2019;18/04/2021;30/11/2020
MGARI2;MGARI25RDE-1BA      ;LT  500 kV ARINOS 2             / RIO DAS EGUAS        C N4 MG/BA       ;LTR;BASICA         ;ARGO IX TRANSMISSAO DE ENERGIA S.A                             ;013/2015 2;2905;4000;2905;4000;;;0.12;1.67;482;230;;500;31/01/2019;03/03/2021;06/01/2021
BAIGT ;BAIGT-5JBA32MG      ;LT  500 kV IGAPORA III          / JANAUBA 3            C L7 BA/MG       ;LTR;BASICA         ;Equatorial Transmissora 5 SPE SA                               ;013/2015 2;2950;4000;2950;4000;;;0.14;1.88;534;257;;500;31/01/2019;23/12/2020;09/02/2022
MGIPAT;MGIPAT2MESQ3        ;LT  230 kV IPATINGA 1           / MESQUITA             C 3  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;7008/18   ;761;891;761;891;;;0.05;0.27;1;3;;230;31/01/2019;23/02/2025;29/08/2024
MGMESQ;MGMESQ2PORT1        ;LT  230 kV MESQUITA             / PORTO ESTRELA        C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;7008/18   ;761;891;761;891;;;0.80;3.98;7;42;;230;31/01/2019;23/02/2025;31/07/2024
MGITAB;MGITAB2ITB53        ;LT  230 kV ITABIRA 2            / ITABIRA 5            C 3  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;10496/21  ;765;895;765;895;;;0.24;1.29;2;2;;230;31/01/2019;;02/06/2025
MGITB5;MGITB52SAB31        ;LT  230 kV ITABIRA 5            / SABARA 3             C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;10496/21  ;765;895;765;895;;;1.21;6.38;12;2;;230;31/01/2019;;02/06/2025
MGMTUM;MGMTUM5SRNS1ES      ;LT  500 kV MUTUM                / RIO NOVO SUL         C 1  MG/ES       ;LTR;BASICA         ;TCC – TRANSMISSORA CAMINHO DO CAFÉ S.A.                        ;013/2015 2;2905;3660;2905;3660;;;0.09;1.33;204;132;;500;31/01/2019;19/03/2021;28/02/2021
MGGVA6;MGGVA65MTUM2        ;LT  500 kV G.VALADARES 6        / MUTUM                C 2  MG          ;LTR;BASICA         ;SPE TRANSMISSORA DE ENERGIA LINHA VERDE I S.A.                 ;002/2017  ;2890;4000;2890;4000;;;0.08;1.16;329;165;;500;31/01/2019;18/01/2024;15/12/2023
MGGVA6;MGGVA65MTUM1        ;LT  500 kV G.VALADARES 6        / MUTUM                C 1  MG          ;LTR;BASICA         ;TCC – TRANSMISSORA CAMINHO DO CAFÉ S.A.                        ;013/2015 2;2890;4000;2890;4000;;;0.08;1.09;310;156;;500;31/01/2019;19/03/2021;28/02/2021
MGGVA6;MGGVA65PPA22        ;LT  500 kV G.VALADARES 6        / PE. PARAISO 2        C 2  MG          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA AIMORÉS S.A.                             ;013/2015 2;2890;4000;2890;4000;;;0.12;1.63;470;216;;500;31/01/2019;01/05/2022;31/08/2021
MGPPA2;MGPPA25POD-2BA      ;LT  500 kV PE. PARAISO 2        / POCOES III           C 2  MG/BA       ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA PARAGUAÇU S.A.                           ;013/2015 2;2890;4000;2890;4000;;;0.18;2.53;749;338;;500;31/01/2019;19/07/2022;31/08/2021
MGPPA2;MGPPA25POD-1BA      ;LT  500 kV PE. PARAISO 2        / POCOES III           C 1  MG/BA       ;LTR;BASICA         ;TPE - TRANSMISSORA PARAISO DE ENERGIA S.A.                     ;013/2015 2;2890;4000;2890;4000;;;0.17;2.48;732;334;;500;31/01/2019;19/03/2021;28/02/2021
MGGVA6;MGGVA65PPA21        ;LT  500 kV G.VALADARES 6        / PE. PARAISO 2        C 1  MG          ;LTR;BASICA         ;TPE - TRANSMISSORA PARAISO DE ENERGIA S.A.                     ;013/2015 2;2890;4000;2890;4000;;;0.12;1.63;469;203;;500;31/01/2019;19/03/2021;28/02/2021
MGITB5;MGITB55PJU-2        ;LT  500 kV ITABIRA 5            / P. JUSCELINO         C 2  MG          ;LTR;BASICA         ;SPE TRANSMISSORA DE ENERGIA LINHA VERDE II S.A.                ;002/2017  ;3245;4000;3245;4000;;;0.11;1.96;215;189;;500;28/02/2022;25/07/2022;31/05/2022
MGJBA3;MGJBA35PJU-2        ;LT  500 kV JANAUBA 3            / P. JUSCELINO         C 2  MG          ;LTR;BASICA         ;Equatorial Transmissora 6 SPE SA                               ;013/2015 2;2950;4000;2950;4000;;;0.17;2.43;717;330;;500;31/01/2019;25/11/2021;30/08/2020
MGJBA3;MGJBA35PJU-1        ;LT  500 kV JANAUBA 3            / P. JUSCELINO         C 1  MG          ;LTR;BASICA         ;Equatorial Transmissora 4 SPE SA                               ;013/2015 2;2950;4000;2950;4000;;;0.17;2.48;734;337;;500;31/01/2019;25/11/2021;30/08/2020
MGJBA3;MGJBA35PI2-1        ;LT  500 kV JANAUBA 3            / PIRAPORA 2           C 1  MG          ;LTR;BASICA         ;JANAÚBA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                  ;013/2015 2;2950;4000;2950;4000;;;0.13;1.79;517;238;;500;31/01/2019;01/09/2021;09/02/2022
MGARI2;MGARI25PI2-1        ;LT  500 kV ARINOS 2             / PIRAPORA 2           C 1  MG          ;LTR;BASICA         ;ARGO IX TRANSMISSAO DE ENERGIA S.A                             ;013/2015 2;2905;4000;2905;4000;;;0.12;1.64;472;221;;500;31/01/2019;03/03/2021;06/01/2021
SPSTCH;SPSTCH5EST-2MG      ;LT  500 kV C. PAULISTA          / ESTREITO             C 2  SP/MG       ;LTR;BASICA         ;TRANSMISSORA SP-MG S.A.                                        ;005/2016  ;2820;4000;2820;4000;;;0.19;3.16;710;370;;500;31/01/2020;14/05/2022;30/10/2021
SPSTCH;SPSTCH5EST-1MG      ;LT  500 kV C. PAULISTA          / ESTREITO             C 1  SP/MG       ;LTR;BASICA         ;TRANSMISSORA SP-MG S.A.                                        ;005/2016  ;2820;4000;2820;4000;;;0.19;3.16;710;370;;500;31/01/2020;27/01/2022;30/10/2021
SPNPP ;SPNPP-2ROS-2        ;LT  230 kV N.P.PRIMAVERA        / ROSANA               C 2  SP          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA TIBAGI S.A.                              ;005/2016  ;1240;1550;1240;1550;;;0.11;1.19;4;18;;230;31/01/2017;03/12/2020;01/10/2020
SPNPP ;SPNPP-2ROS-1        ;LT  230 kV N.P.PRIMAVERA        / ROSANA               C 1  SP          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA TIBAGI S.A.                              ;005/2016  ;1240;1550;1240;1550;;;0.11;1.19;4;18;;230;31/01/2017;03/12/2020;01/10/2020
PRGUA ;PRSTF65GUA-2        ;LT  525 kV GUAIRA               / F.IGUACU 60HZ        C 2  PR          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA IVAÍ S.A.                                ;005/2016  ;3200;3985;3200;3985;;;0.12;2.00;246;173;;500;31/01/2018;01/11/2022;11/08/2022
PRGUA ;PRSTF65GUA-1        ;LT  525 kV GUAIRA               / F.IGUACU 60HZ        C 1  PR          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA IVAÍ S.A.                                ;005/2016  ;3200;3985;3200;3985;;;0.12;2.00;246;173;;500;31/01/2018;01/11/2022;11/08/2022
PRGUA ;PRGUA-5SDI-2        ;LT  525 kV GUAIRA               / SARANDI              C 2  PR          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA IVAÍ S.A.                                ;005/2016  ;3200;3985;3200;3985;;;0.16;2.76;420;267;;525;31/01/2018;01/11/2022;11/08/2022
PRGUA ;PRGUA-5SDI-1        ;LT  525 kV GUAIRA               / SARANDI              C 1  PR          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA IVAÍ S.A.                                ;005/2016  ;3200;3985;3200;3985;;;0.16;2.76;420;267;;525;31/01/2018;01/11/2022;11/08/2022
PRGUA ;PRGUA-2UMS-2        ;LT  230 kV GUAIRA               / UMUARAMA SUL         C 2  PR          ;LTR;BASICA         ;GUAIRA TRANSMISSORA DE ENERGIA S.A.                            ;005/2016  ;825;965;825;965;;;1.60;9.52;19;108;;230;31/01/2018;31/01/2021;11/08/2021
MSCGR2;MSCGR22RBE-1        ;LT  230 kV CAMPO GRANDE2        / RIO BRILHANTE        C 1  MS          ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;1.13;9.66;37;149;;230;31/01/2018;07/12/2020;03/11/2020
MSCGR2;MSCGR22IMB-2        ;LT  230 kV CAMPO GRANDE2        / IMBIRUSSU            C 2  MS          ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;0.40;3.41;13;57;;230;31/01/2018;25/04/2021;30/09/2021
MSDOU ;MSDOU-2DOU22        ;LT  230 kV DOURADOS             / DOURADOS 2           C 2  MS          ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;0.37;3.13;12;48;;230;31/01/2018;03/08/2021;30/09/2021
MSDOU2;MSDOU22RBE-1        ;LT  230 kV DOURADOS 2           / RIO BRILHANTE        C 1  MS          ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;0.93;7.93;30;122;;230;31/01/2018;03/08/2021;30/09/2021
SPNPP ;SPNPP-2RBE-2MS      ;LT  230 kV N.P.PRIMAVERA        / RIO BRILHANTE        C 2  SP/MS       ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;1.12;9.61;37;137;;230;31/01/2018;21/07/2020;01/06/2020
MSIVI2;MSIVI22NPP-2SP      ;LT  230 kV IVINHEMA 2           / N.P.PRIMAVERA        C 2  MS/SP       ;LTR;BASICA         ;NEOENERGIA DOURADOS TRANSMISSÃO DE ENERGIA S.A.                ;005/2016  ;1680;2065;1680;2065;;;0.50;4.26;16;64;;230;31/01/2018;27/12/2020;28/02/2021
MSDOU2;MSDOU22IVI21        ;LT  230 kV DOURADOS 2           / IVINHEMA 2           C 1  MS          ;LTR;BASICA         ;Porto Primavera Transmissora de Energia S/A.                   ;005/2016  ;1680;1680;1680;1680;;;1.01;8.57;33;132;;230;31/01/2018;21/08/2022;30/09/2021
MSDOU ;MSDOU-2DOU21        ;LT  230 kV DOURADOS             / DOURADOS 2           C 1  MS          ;LTR;BASICA         ;Porto Primavera Transmissora de Energia S/A.                   ;005/2016  ;1680;2065;1680;2065;;;0.37;3.10;12;48;;230;31/01/2018;21/08/2022;30/09/2021
PRLON ;PRLON-2SDI-1        ;LT  230 kV LONDRINA ESU         / SARANDI              C 1  PR          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;594;749;594;749;;;1.56;7.47;14;78;;230;31/01/2017;31/03/2023;31/12/2022
PRMGA ;PRMGA-2SDI-2        ;LT  230 kV MARINGA              / SARANDI              C 2  PR          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;598;824;598;824;;;0.35;1.69;3;17;;230;31/01/2017;31/03/2023;31/12/2022
PRAPA ;PRAPA-2LOS-1        ;LT  230 kV APUCARANA            / LONDRINA SUL         C 1  PR          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;005/2016  ;978;1232;978;1232;;;0.45;2.48;8;33;;230;31/01/2017;13/12/2021;11/08/2021
PRLON ;PRLON-2LOS-1        ;LT  230 kV LONDRINA ESU         / LONDRINA SUL         C 1  PR          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;005/2016  ;978;1232;978;1232;;;0.18;1.03;3;14;;230;31/01/2017;13/12/2021;11/08/2021
