Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
BAARO;SUB AROEIRA                                        BA       ;ENL;ENEL GREEN POWER BRASIL PARTICIPAÇÕES LTDA                     ;01/05/2023;19/12/2023,-41.47616150799996,-10.791088758
CEABA2;SUB ABAIARA II                                     CE       ;LSM;LIGHTSOURCE MILAGRES I GERACAO DE ENERGIA LTDA                 ;31/08/2023;19/12/2023,-38.970835844999954,-7.391467184999954
RNPRA;SUB PEDRA RAJADA                                   RN       ;EEH;ECHOENERGIA PARTICIPACOES S.A.                                 ;01/10/2017;,-36.31041865199995,-5.916280904999951
BADAM;SUB DARIO MEIRA                                    BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1999,-39.88126152499996,-14.440447622999955
PBPBT;SUB PILOES III                                     PB       ;SPA;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A.               ;01/12/2028;,-35.61899999499997,-6.880000007999968
PIVEA;SUB VEA II                                         PI       ;XZV;CEC - CENTRAIS ELETRICAS CARNAUBAL S.A.                        ;01/07/2025;,-41.41049987399998,-4.124800209999989
BAVB3;SUB VENTOS DA BAHIA III                            BA       ;VB1;Parque Eólico Ventos da Bahia I                                ;25/02/2021;03/12/2021,-41.499969093999994,-12.098415183999975
BAVDB;SUB VENTOS DA BAHIA                                BA       ;BB2; Parque Eólico Alto do Bonito Ltda                             ;31/05/2017;21/09/2017,-41.49134408699996,-11.981695223999964
PECRD;SUB CIRANDA                                        PE       ;CD4;CIRANDA 4 ENERGIAS RENOVÁVEIS S.A.                             ;01/01/2022;01/04/2023,-38.627376142,-7.636519620999991
RNACA;SUB ACAUA                                          RN       ;ALG;ALIANÇA GERAÇÃO DE ENERGIA S.A.                                ;01/03/2022;29/08/2023,-36.645479025999975,-6.111334647999968
RNAFB;SUB AFONSO BEZERRA                                 RN       ;BZ1;AFONSO BEZERRA I GERACAO DE ENERGIA SPE S.A                    ;31/12/2021;30/04/2022,-36.50618808399997,-5.324612263999995
RNAMN;SUB ANEMUS                                         RN       ;GEN;COTESA ENGENHARIA LTDA                                         ;01/09/2022;10/05/2023,-36.59313374999999,-6.205313155999988
RNBNT;SUB BLOCO NORTE                                    RN       ;BER;São Benedito Energias Renováveis ltda.                         ;30/09/2016;13/08/2016,-35.800472980999984,-5.225277020999954
RNCA3;SUB CALANGO 3                                      RN       ;CG6;CALANGO 6 ENERGIA RENOVAVEL S.A.                               ;06/10/2016;28/12/2016,-36.489330892,-6.039539033999972
RNCAJ;SUB CAJU                                           RN       ;HG2;Ventos de Santa Tereza 04 Energias Renováveis S.A.             ;01/01/2023;27/06/2023,-36.26872173299995,-5.686297811999964
RNEXT;SUB EXTREMOZ                                       RN       ;CRN;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN             ;;31/12/1990,-35.288673501999995,-5.736751240999979
RNMDR;SUB MONTE DO RONCA                                 RN       ;VSF;VENTOS DE SAO FERNANDO I ENERGIA S.A                           ;31/07/2020;03/10/2020,-36.03197405499998,-5.176286918999949
RNMS2;SUB MORRO DO CHAPEU SUL II                         BA       ;E08;ENEL GREEN POWER VENTOS DE SANTA ESPERANÇA 8 S.A               ;30/04/2021;13/11/2021,-41.334548219,-11.611287905999973
RNMSC;SUB MANGUE SECO                                    RN       ;MS1;Éolica Mangue Seco 1 Geradora e Comercializadora de Energia Elé;01/08/2011;26/08/2011,-36.359399372999974,-5.172742212999992
RNMTV;SUB MONTE VERDE                                    RN       ;PRZ;ARGO VI TRANSMISSAO DE ENERGIA S.A                             ;28/02/2022;01/09/2022,-36.21533997299997,-5.446920004999981
RNRID;SUB RIACHAO II                                     PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/05/2023;02/11/2023,-35.63386587499997,-6.517059958999994
RNSMN;SUB SANTA ROSA MUNDO NOVO                          RN       ;SN1;CENTRAIS EÓLICAS SRMN I SA                                     ;27/03/2021;14/08/2021,-36.156220641999994,-5.913732128999982
SEXNG;SUB SE XINGO                                       SE       ;EGP;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA                    ;;03/11/2010,-37.79579988099999,-9.63300034699995
BAPAS;SUB PONTO ASTERIO                                  BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1999,-39.89529049799995,-14.95415096399995
BACTN;SUB CAETITE NORTE                                  BA       ;BRH;EÓLICA BREJINHOS ALFA S.A                                      ;01/10/2022;20/03/2024,-42.49051730899998,-14.156374140999958
BARGT;SUB RIO GRANDE III                                 BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;30/09/2021;29/11/2021,-45.160457119,-12.698394014999963
RNJND;SUB JANDAIRA II                                    RN       ;PRZ;ARGO VI TRANSMISSAO DE ENERGIA S.A                             ;01/08/2022;28/04/2023,-36.01945286799997,-5.411100087999955
BACAN;SUB CANUDOS I                                      BA       ;CN2;Eólica Canudos II SPE S.A.                                     ;31/12/2021;01/12/2023,-38.75152085499997,-10.130487191999975
CEARP;SUB ARARIPE IV                                     PI       ;VCZ;VENTOS DE SÃO ZACARIAS 01 ENERGIAS RENOVAVEIS S.A.             ;22/12/2023;02/10/2024,-40.71532008999998,-7.720134892999965
CEART;SUB ARATICUM                                       CE       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/06/2029;,-38.769999955,-7.285000246999971
PIFMRG;SUB COLETORA MARANGATU                             PI       ;SD8;MARANGATU 1 ENERGIAS RENOVAVEIS S.A.                           ;30/10/2023;19/04/2024,-41.27304289199998,-4.082201195999971
RNAVD;SUB AVENTURA II                                    RN       ;AV2;CENTRAL EOLICA AVENTURA II S/A                                 ;31/12/2020;,-35.774947288999954,-5.3350800239999785
RNCSER;SUB OESTE SERIDO                                   RN       ;BRN;ELERA RENOVAVEIS S A.                                          ;30/09/2023;27/12/2023,-36.66944701699998,-6.786298302999967
RNMEND;SUB MENDUBIM                                       RN       ;KUY;MENDUBIM GERAÇÃO DE ENERGIA LTDA                               ;31/07/2023;08/02/2024,-37.035712053,-5.615819068999997
RNTSN;SUB TERRA SANTA                                    RN       ;TS1;CENTRAL EOLICA TERRA SANTA SPE I SA                            ;30/10/2020;,-36.05748593999999,-5.256865780999988
SENSG;SUB NOSSA SENHORA DA GLORIA II                     SE       ;SRN;SERRA NEGRA TRANSMISSÃO DE ENERGIA S.A.                        ;31/12/2026;,-37.40833965499996,-10.26325000899999
RNUMR;USI UMARI                                          RN       ;CVR;Casa dos Ventos Energias Renováveis SA                         ;31/05/2023;20/12/2023,-35.74508449399997,-6.406011393999961
BATEF;SUB TEIXEIRA FREITAS                               BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;31/12/1990;31/12/1990,-39.72109074599996,-17.528663134
BAILD;SUB ITABELA II                                     BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990,-39.54597285899996,-16.57973653199997
BACMC;SUB CAMACA                                         BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990,-39.49894607199997,-15.419069302999958
BABRK;SUB BRASKEM UNIB                                   BA       ;CPN;Companhia Petroquimica do Nordeste                             ;;31/12/1990,-38.492744190999986,-12.784558621999963
CEUCZS;SUB ICARAIZINHO SE                                 CE       ;ERE;CPFL ENERGIAS RENOVAVEIS S.A.                                  ;30/09/2009;14/10/2009,-39.67878601199999,-3.0179036339999925
BAEPC;SUB EMBASA                                         BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;02/06/2000,-38.443899955999996,-12.715698802999952
BAEUN;SUB EUNAPOLIS I                                    BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990,-39.56372275799998,-16.37169756899999
BANHZ;SUB NOVO HORIZONTE                                 BA       ;HNS;PAN AMERICAN ENERGY ENERGIAS RENOVÁVEIS LTDA                   ;28/08/2023;02/02/2024,-42.20400305299995,-12.663945759
PBRALD;SUB RIO ALTO II                                    PB       ;HT9;RIO ALTO UFV STL I SPE S/A                                     ;30/01/2024;02/04/2024,-36.97752311199997,-6.9127055629999745
PIMRG;SUB MARANGATU                                      PI       ;SIT;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;31/10/2023;01/04/2024,-41.45809635699999,-4.1372888169999555
CEPTN;SUB SUB PANATI                                     CE       ;ZX9;PANATI 1 ENERGIAS RENOVAVEIS S.A.                              ;15/12/2023;25/01/2024,-38.82066041599995,-5.321164404000001
RNMNV;SUB MUNDO NOVO                                     RN       ;MNV; SPE 2 – Central Eólica Mundo  Novo S.A.                       ;31/08/2023;30/01/2024,-35.649323838999976,-5.185383462999994
BAPPT;SUB PEDRA PINTADA                                  BA       ;ENL;ENEL GREEN POWER BRASIL PARTICIPAÇÕES LTDA                     ;01/08/2023;,-41.21340245199997,-10.771001149999961
BASAR;SUB SERRA DO ASSURUA                               BA       ;9;Centrais Eólicas Assuruá SA                                    ;31/12/2023;06/08/2024,-42.56977106699998,-11.482952554999997
PISJII;SUB S.JOAO PIAUI II                                PI       ;;;31/12/2022;,-42.506999248,-8.275001062000001
BAFRP;SUB SUB FORMOSA DO RIO PRETO                       BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;31/08/2024;,-45.783000173000005,-10.768000330999996
ALZBD;SUB ZEBU 2                                         AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990,-38.20107664699998,-9.357938454999953
