Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
RNMOD ;SUB MODELO                                         RN       ;MOD;Enel Green Power Modelo I Eólica SA                            ;30/11/2014;23/10/2014,-35.89694400099995,-5.420278005
RNMSD ;SUB MOSSORO II                                     RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-37.349589004999984,-5.150358006999966
RNMSQ ;SUB MOSSORO IV                                     RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/09/2017;28/10/2017,-37.28025000499997,-4.8481890039999485
RNMVT ;SUB MORRO DOS VENTOS II                            RN       ;EUI;Desa Eurus I SA                                                ;15/10/2014;03/12/2014,-35.88498600599996,-5.371550001000003
RNNTD ;SUB NATAL II                                       RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.23916670699998,-5.807472206999989
RNNTS ;SUB NATAL III                                      RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/08/2012;26/08/2012,-35.31970400399996,-5.873863003999986
RNODA ;SUB OLHO DAGUA                                     RN       ;EOD;GE OLHO DÁGUA SA                                               ;31/03/2015;25/02/2015,-35.977483003999964,-5.064175001999956
RNPRS ;SUB PARAISO                                        RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/12/2002;10/02/2004,-36.00444440499996,-6.236388906999991
RNPTG ;SUB POTIGUARES                                     RN       ;EOP;Energia Potiguar Geradora Eólica SA                            ;22/04/2014;05/04/2014,-35.78805600099997,-5.0908330009999645
RNRCH ;SUB RIACHAO                                        RN       ;EAI;Central Eólica Acari Ltda                                      ;31/03/2015;30/05/2015,-35.44724300499996,-5.551706000999957
RNREV ;SUB RENASCENCA V                                   RN       ;REV;Renascença V Energias Renováveis SA                            ;31/05/2015;01/01/2015,-35.86877199999998,-5.272958002999985
