Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
PEAGL ;PEAGL-2RCD-2        ;LT  230 kV ANGELIM              / RECIFE II            C M3 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;3.12;16.34;30;172;;230;;31/12/1990;
PEAGL ;PEAGL-2MSI-3AL      ;LT  230 kV ANGELIM              / MESSIAS              C M9 PE/AL       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;1.46;7.70;13;79;;230;;31/12/1990;
PEAGL ;PEAGL-2MSI-1AL      ;LT  230 kV ANGELIM              / MESSIAS              C M7 PE/AL       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;590;;LT - Altura Seg.;1.44;7.35;14;79;;230;;31/12/1990;
PEAGL ;PEAGL-2MSI-2AL      ;LT  230 kV ANGELIM              / MESSIAS              C M8 PE/AL       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;590;;LT - Altura Seg.;1.44;7.35;14;79;;230;;31/12/1990;
PEAGL ;PEAGL-2TAC-3        ;LT  230 kV ANGELIM              / TACAIMBO             C M6 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;1.22;6.15;12;66;;230;;31/12/1990;31/07/2004
PEAGL ;PEAGL-2TAC-1        ;LT  230 kV ANGELIM              / TACAIMBO             C M4 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;631;;LT - Altura Seg.;1.19;6.12;12;64;;230;;31/12/1990;31/07/2004
PEAGL ;PEAGL-2TAC-2        ;LT  230 kV ANGELIM              / TACAIMBO             C M5 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;631;;LT - Altura Seg.;1.20;6.26;12;64;;230;;31/12/1990;31/07/2004
SEITB ;SEITB-2ITH-1        ;LT  230 kV ITABAIANA            / ITABAIANINHA         C C3 SE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;621;;;1.41;7.71;13;77;;230;;29/09/2003;01/07/2017
PEPFE ;PEPFE-2CGD-1PB      ;LT  230 kV PAU FERRO            / C.GRANDE II          C C4 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;397;1262;1590;1200;1200;CH;CH;1.16;8.38;31;127;;230;28/02/2002;28/03/2003;28/02/2002
PERCD ;PERCD-2GNN-1        ;LT  230 kV RECIFE II            / GOIANINHA            C C8 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;1.31;6.79;12;71;;230;;31/12/1990;
PERCD ;PERCD-2GNN-2        ;LT  230 kV RECIFE II            / GOIANINHA            C C9 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;1.31;6.79;12;71;;230;;31/12/1990;
PERCD ;PERCD-2PRD-1        ;LT  230 kV RECIFE II            / PIRAPAMA II          C C1 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;903;903;903;903;;;0.51;2.59;5;28;;230;;31/12/1990;31/12/2003
PERCD ;PERCD-2MRR-1        ;LT  230 kV RECIFE II            / MIRUEIRA             C C4 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;631;;LT - Altura Seg.;0.58;3.09;5;31;;230;;31/12/1990;
PERCD ;PERCD-2MRR-3        ;LT  230 kV RECIFE II            / MIRUEIRA             C C6 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;0.58;2.96;6;31;;230;;31/12/1990;
PERCD ;PERCD-2MRR-2        ;LT  230 kV RECIFE II            / MIRUEIRA             C C5 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;0.58;2.95;6;31;;230;;31/12/1990;
BAPAF ;BAPAF-2BNO-3PE      ;LT  230 kV P.AFONSO III         / BOM NOME             C F3 BA/PE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1003;1003;1003;1003;;;2.18;9.72;51;171;;230;;31/12/1990;
PEGNN ;PEGNN-2CGD-1PB      ;LT  230 kV GOIANINHA            / C.GRANDE II          C L3 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;688;;LT - Altura Seg.;1.82;9.73;17;99;;230;;31/12/1990;21/08/2021
PETAC ;PETAC-2CGD-2PB      ;LT  230 kV TACAIMBO             / C.GRANDE II          C C2 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;631;;LT - Altura Seg.;2.28;12.19;21;121;;230;;31/12/1990;
PETAC ;PETAC-2CGD-1PB      ;LT  230 kV TACAIMBO             / C.GRANDE II          C C1 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;656;;LT - Altura Seg.;2.28;11.96;21;121;;230;;31/12/1990;
