Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
PIPNB ;PIPNB-5TIA-1CE      ;LT  500 kV PARNAIBA III         / TIANGUA II           C 1  PI/CE       ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;3000;3765;3000;3765;;;0.08;1.18;170;111;;500;30/12/2019;21/03/2021;09/03/2023
CEAUD ;CEAUD-2AUT-1        ;LT  230 kV ACARAU II            / ACARAU III           C C1 CE          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;1570;1995;1570;1995;;;0.01;0.08;0;1;;230;30/12/2019;26/02/2020;09/03/2023
CEAUD ;CEAUD-2AUT-2        ;LT  230 kV ACARAU II            / ACARAU III           C C2 CE          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;1570;1995;1570;1995;;;0.01;0.08;0;1;;230;30/12/2019;26/02/2020;09/03/2023
CEIBD ;CEIBD-2TIA-1        ;LT  230 kV IBIAPINA II          / TIANGUA II           C Z1 CE          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;1570;1975;1570;1975;;;0.17;1.69;7;26;;230;30/12/2019;13/03/2021;09/03/2023
CEIBD ;CEIBD-2TIA-2        ;LT  230 kV IBIAPINA II          / TIANGUA II           C Z2 CE          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;1570;1975;1570;1975;;;0.17;1.69;7;26;;230;30/12/2019;13/03/2021;09/03/2023
PIPRI ;PIPRI-2TST-1        ;LT  230 kV PIRIPIRI             / TERESINA III         C L7 PI          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;002/2017  ;1575;1960;1575;1960;;;0.93;9.36;36;143;;230;30/12/2019;18/04/2021;09/05/2021
RNSTL ;RNSTL-5CGT-1PB      ;LT  500 kV SANTA LUZIA II       / C.GRANDE III         C Z6 PB          ;LTR;BASICA         ;NEOENERGIA SANTA LUZIA TRANSMISSÃO DE ENERGIA S.A.             ;002/2017  ;3095;4000;3095;4000;;;0.09;1.31;193;124;;500;30/12/2021;26/06/2021;08/04/2022
RNSTL ;RNSTL-5MLD-1CE      ;LT  500 kV SANTA LUZIA II       / MILAGRES II          C C5 PB/CE       ;LTR;BASICA         ;NEOENERGIA SANTA LUZIA TRANSMISSÃO DE ENERGIA S.A.             ;002/2017  ;3095;4000;3095;4000;;;0.15;2.34;347;222;;500;30/12/2021;29/07/2021;08/04/2022
CETIA ;CETIA-5TSD-2PI      ;LT  500 kV TIANGUA II           / TERESINA II          C C7 CE/PI       ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;002/2017  ;2300;2300;2300;2300;;;0.18;2.88;441;272;;500;30/12/2019;31/10/2021;09/03/2023
CETIA ;CETIA-5SBT-3        ;LT  500 kV TIANGUA II           / SOBRAL III           C V8 CE          ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;002/2017  ;2300;2300;2300;2300;;;0.07;1.11;171;110;;500;30/12/2019;31/10/2021;07/10/2019
BAITB3;BAITB32FNL-1        ;LT  230 kV ITABUNA III          / FUNIL                C F7 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2017  ;631;795;631;795;;;1.96;9.30;18;99;;230;30/12/2019;26/11/2021;25/02/2021
BAITB3;BAITB32ITI-1        ;LT  230 kV ITABUNA III          / ITAPEBI SE           C N4 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2017  ;631;795;631;795;;;2.87;13.63;26;146;;230;30/12/2019;27/11/2021;25/02/2021
PELAGC;PELAGC2CTM-1PB      ;LT  230 kV LAGOA DO CARRO       / COTEMINAS            C F9 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2017  ;1262;1590;1200;1200;CH;;0.91;6.41;24;96;;230;31/01/2019;28/09/2020;09/09/2021
PELAGC;PELAGC2PFE-1        ;LT  230 kV LAGOA DO CARRO       / PAU FERRO            C F8 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2017  ;1262;1590;1200;1200;CH;CH;0.47;3.34;12;50;;230;31/01/2019;28/09/2020;09/09/2021
CEJGII;CEJGII5PCT-1        ;LT  500 kV JAGUARUANA II        / PACATUBA             C L1 CE          ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;3005;4000;3005;4000;;;0.11;1.78;235;156;;500;31/01/2022;16/10/2024;21/09/2023
CEJGII;CEJGII5ACT-1RN      ;LT  500 kV JAGUARUANA II        / ACU III              C V7 CE/RN       ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;3005;4000;3005;4000;;;0.07;1.20;158;107;;500;31/01/2022;15/05/2024;21/09/2023
CEJGII;CEJGII2MSQ-1RN      ;LT  230 kV JAGUARUANA II        / MOSSORO IV           C S1 CE/RN       ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;1485;1875;1485;1875;;;0.32;3.27;13;50;;230;31/01/2022;15/05/2024;21/09/2023
CEJGII;CEJGII2MSQ-2RN      ;LT  230 kV JAGUARUANA II        / MOSSORO IV           C S2 CE/RN       ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;1485;1875;1485;1875;;;0.32;3.27;13;50;;230;31/01/2022;19/05/2024;21/09/2023
CEJGII;CEJGII2RSD-1        ;LT  230 kV JAGUARUANA II        / RUSSAS II            C S3 CE          ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;1450;1825;1450;1825;;;0.24;2.44;9;37;;230;31/01/2022;04/06/2024;21/09/2023
RNCRB ;RNCRB-2ACT-1        ;LT  230 kV CARAUBAS II          / ACU III              C C1 RN          ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;940;1185;940;1185;;;0.72;3.85;14;56;;230;;01/05/2024;21/09/2023
RNCRB ;RNCRB-2ACT-2        ;LT  230 kV CARAUBAS II          / ACU III              C C2 RN          ;LTR;BASICA         ; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;002/2018  ;940;1185;940;1185;;;0.72;3.85;14;56;;230;;01/05/2024;21/09/2023
PBCGT ;PBCGT-5JPII1        ;LT  500 kV C.GRANDE III         / JOAO PESSOA II       C Z7 PB          ;LTR;BASICA         ;BORBOREMA TRANSMISSÃO DE ENERGIA S.A.                          ;002/2018  ;3095;3895;3095;3895;;;0.08;1.51;161;122;;500;30/12/2021;18/06/2022;07/05/2022
CEPCE ;CEPED-5PCT-1        ;LT  500 kV PECEM II             / PACATUBA             C Z1 CE          ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;002/2018  ;;;;;;;0.05;0.76;108;68;;500;31/01/2022;16/10/2024;19/09/2024
CEPCT ;CEPCT-5FZD-1        ;LT  500 kV PACATUBA             / FORTALEZA II         C C1 CE          ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;002/2018  ;;;;;;;0.01;0.09;12;8;;500;31/01/2022;16/10/2024;19/09/2024
PBJPII;PBJPII2SRD-2        ;LT  230 kV JOAO PESSOA II       / SANTA RITA II        C J1 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.26;1.28;2;13;;230;30/12/2021;26/09/2022;07/05/2022
PBJPII;PBJPII2MRD-1        ;LT  230 kV JOAO PESSOA II       / MUSSURE II           C F1 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.10;0.51;1;6;;230;30/12/2021;27/09/2022;07/05/2022
PBJPII;PBJPII2SRD-1        ;LT  230 kV JOAO PESSOA II       / SANTA RITA II        C F4 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.26;1.28;2;14;;230;30/12/2021;17/09/2022;07/05/2022
PEGNN ;PEGNN-2JPII1PB      ;LT  230 kV GOIANINHA            / JOAO PESSOA II       C N3 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.90;4.41;8;46;;230;30/12/2021;06/10/2022;07/05/2022
PEGNN ;PEGNN-2JPII2PB      ;LT  230 kV GOIANINHA            / JOAO PESSOA II       C N2 PE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.90;4.41;8;46;;230;30/12/2021;01/10/2022;07/05/2022
PBJPII;PBJPII2MRD-2        ;LT  230 kV JOAO PESSOA II       / MUSSURE II           C F2 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;0.10;0.51;1;5;;230;30/12/2021;21/09/2022;07/05/2022
BAALG ;BACCD-2ALG-1        ;LT  230 kV ALAGOINHAS II        / CICERO DANTAS        C L8 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;437;621;437;437;;Altura segurança;3.01;15.94;28;163;;230;;23/04/2023;21/03/2023
BAALG ;BAALG-2CTU-1        ;LT  230 kV ALAGOINHAS II        / CATU                 C L3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;437;621;437;437;;Altura segurança;0.77;4.08;7;38;;230;;22/04/2023;21/03/2023
BAGVM ;BAGVM-2FS3-1        ;LT  230 kV G.MANGABEIRA         / F. SANTANA III       C F6 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;1.70;9.07;17;96;;230;30/12/2020;02/09/2022;21/03/2022
BAFS3 ;BAFS3-2CMD-1        ;LT  230 kV F. SANTANA III       / CAMACARI II          C C6 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;631;795;631;795;;;1.70;9.07;17;93;;230;30/12/2020;02/09/2022;21/03/2022
SEUPS1;SEPSG-5OLD-1BA      ;LT  500 kV PORTO SERGIPE I      / OLINDINA             C P3 SE/BA       ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;002/2018  ;3000;3700;3000;3700;;;0.12;1.89;274;180;;500;31/01/2019;09/10/2024;16/10/2024
BAOLD ;BAOLD-5SPU-1        ;LT  500 kV OLINDINA             / SAPEACU              C S9 BA          ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;002/2018  ;3000;3700;3000;3700;;;0.13;2.00;289;207;;500;;26/10/2024;16/10/2024
BAIRE ;BAIRE-2MCP-2        ;LT  230 kV IRECE                / MORRO CHAPEU II      C N8 BA          ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;002/2018  ;1570;1960;1570;1960;;;0.44;4.40;17;67;;230;30/12/2019;;23/11/2025
BAIRE ;BAIRE-2MCP-3        ;LT  230 kV IRECE                / MORRO CHAPEU II      C N9 BA          ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;002/2018  ;1570;1960;1570;1960;;;0.44;4.40;17;67;;230;30/12/2019;;23/11/2025
ALSTII;ALSTII2AGL-1PE      ;LT  230 kV SANTANA II           / ANGELIM              C Z9 AL/PE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2018  ;437;621;437;516;;Altura segurança;2.88;15.62;26;156;;230;30/04/2021;21/09/2021;21/03/2022
BACLA ;BACLA-2OUR-1        ;LT  230 kV CAMPO LARGO          / OUROLANDIA II        C P1 BA          ;LTR;COMPLEMENTAR   ;CLWP EOLICA PARQUE I S.A.                                      ;;;;;;;;0.56;3.45;13;51;;230;;04/07/2018;01/12/2018
BACLA ;BACLA-2OUR-P2       ;LT  230 kV CAMPO LARGO          / OUROLANDIA II        C P2 BA          ;LTR;COMPLEMENTAR   ;CLWP EOLICA PARQUE I S.A.                                      ;;;;;;;;0.56;3.45;13;51;;230;;06/10/2018;01/12/2018
BASPD ;BASPD-0BJD-1        ;LT   69 kV SAO PEDRO            / B.JESUS LAPA         C P3 BA          ;LTR;COMPLEMENTAR   ;Central Fotovoltaica São Pedro II Ltda                         ;;;;;;;;1.21;7.05;0;11;;69;31/07/2018;08/11/2018;31/07/2018
RNVLC ;RNVLC-2CID-1        ;LT  230 kV VALÊNCIA             / CEARA MIRIM 2        C 1  RN          ;LTR;COMPLEMENTAR   ;;;;;;;;;0.01;0.01;;38;;230;;;31/12/2018
RNCUT ;RNCUT-2TRS-1        ;LT  230 kV CUTIA                / TOUROS               C P1 RN          ;LTR;COMPLEMENTAR   ;USINA DE ENERGIA EOLICA CUTIA S/A                              ;;;;;;;;0.33;2.09;8;32;;230;;22/12/2018;30/09/2018
PBCMA ;PBCMA-2RAL-1        ;LT  230 kV COREMAS              / RIO ALTO             C P1 PB          ;LTR;COMPLEMENTAR   ;COREMAS I GERAÇÃO DE ENERGIA SPE SA                            ;;;;;;;;0.15;0.70;1;8;;230;31/05/2018;16/10/2018;31/05/2018
BAUPR ;BAUPR12CMQ-1        ;LT  230 kV UTE PROSPERIDAD      / CAMACARI IV          C P5 BA          ;LTR;COMPLEMENTAR   ;IMETAME ENERGIA LTDA                                           ;;;;;;;;0.35;2.17;4;23;;230;;16/10/2018;31/01/2018
BAPOD ;BAPOD-2POT-1        ;LT  230 kV POCOES II            / POCOES III           C C1 BA          ;LTR;BASICA         ;EDTE - EMPRESA DIAMANTINA DE TRANSMISSÃO DE ENERGIA S.A.       ;013/2015  ;1660;2020;1660;2020;;;0.01;0.06;0;1;;230;30/04/2015;20/01/2020;12/01/2020
BAPOD ;BAPOD-2POT-2        ;LT  230 kV POCOES II            / POCOES III           C C2 BA          ;LTR;BASICA         ;EDTE - EMPRESA DIAMANTINA DE TRANSMISSÃO DE ENERGIA S.A.       ;013/2015  ;1660;2020;1660;2020;;;0.01;0.06;0;1;;230;30/04/2015;20/01/2020;12/01/2020
MAMR  ;MAMR--5PLN-1        ;LT  500 kV MIRANDA II           / PAULINO NEVES        C 1  MA          ;LTR;COMPLEMENTAR   ;OMEGA Energia e Implantação 1 SA                               ;;;;;;;;0.18;2.96;320;239;;500;;07/07/2017;31/05/2017
BACMQ ;BACMQ-2PRJ-2        ;LT  230 kV CAMACARI IV          / PIRAJA               C F4 BA          ;LTR;BASICA         ;MEZ 1 ENERGIA S.A.                                             ;002/2019  ;1288;1288;1288;1288;;;0.30;2.53;22;40;;230;30/12/2023;19/01/2025;30/12/2024
BAPOT ;BAPOT-2ITI-1        ;LT  230 kV POCOES III           / ITAPEBI SE           C 1  BA          ;LTR;BASICA         ;KF/JAP BA TRANSMISSORA DE ENERGIA DO BRASIL LTDA               ;002/2019  ;1635;2160;1635;2160;;;1.44;12.15;49;191;;230;30/12/2023;;20/03/2025
BARDE ;BARDE-2RFM-1        ;LT  230 kV RIO DAS EGUAS        / RIO FORMOSO II       C F1 BA          ;LTR;BASICA         ;NEOENERGIA RIO FORMOSO TRANSMISSAO E ENERGIA S.A.              ;002/2019  ;1400;1750;1400;1750;;;0.77;6.45;25;99;;230;31/12/2013;29/01/2023;15/09/2022
BARDE ;BARDE-2RFM-2        ;LT  230 kV RIO DAS EGUAS        / RIO FORMOSO II       C F2 BA          ;LTR;BASICA         ;NEOENERGIA RIO FORMOSO TRANSMISSAO E ENERGIA S.A.              ;002/2019  ;1400;1750;1400;1750;;;0.77;6.45;25;99;;230;31/12/2013;29/01/2023;15/09/2022
ALMSI ;ALMSI-2RLD-4        ;LT  230 kV MESSIAS              / RIO LARGO II         C C1 AL          ;LTR;BASICA         ;TRANSMISSORA RIO LARGO SPE S.A.                                ;002/2019  ;1430;1790;1430;1790;;;0.10;0.98;4;15;;230;30/12/2023;31/10/2023;20/09/2023
CECRA2;CETAD-2CRA21        ;LT  230 kV CRATO II             / TAUA II              C M7 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;;;;;;;3.71;19.34;35;32;;230;30/12/2024;;20/03/2024
CECRA2;CECRA22MLG-1        ;LT  230 kV CRATO II             / MILAGRES             C M4 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;;;;;;;1.40;6.95;13;32;;230;;;20/03/2024
CEDM2 ;CEDM2-2FZD-1        ;LT  230 kV DIAS MACEDO II       / FORTALEZA II         C F6 CE          ;LTR;BASICA         ;BRE 4 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;001/2020  ;790;1580;790;1580;;;0.02;0.31;28;8;;230;30/12/2024;;30/03/2026
CEDM2 ;CEDM2-2FZD-2        ;LT  230 kV DIAS MACEDO II       / FORTALEZA II         C F7 CE          ;LTR;BASICA         ;BRE 4 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;001/2020  ;790;1580;790;1580;;;0.02;0.31;28;8;;230;30/12/2024;;30/03/2026
BACCD ;BACCD-2OLD-2        ;LT  230 kV CICERO DANTAS        / OLINDINA             C V4 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;437;621;437;437;;Altura segurança;1.55;7.43;14;0;;230;31/12/2023;;20/03/2025
BACTU ;BAOLD-2CTU-2        ;LT  230 kV CATU                 / OLINDINA             C L2 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;437;621;437;621;;;2.47;11.78;22;0;;230;31/12/2023;;19/03/2025
BACCD ;BACCD-2OLD-1        ;LT  230 kV CICERO DANTAS        / OLINDINA             C V3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;437;621;437;437;;Altura segurança;1.55;7.43;14;0;;230;;;20/03/2025
BACTU ;BAOLD-2CTU-1        ;LT  230 kV CATU                 / OLINDINA             C 1  BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;002/2019  ;437;621;437;437;;Altura segurança;;;;0;;230;31/12/2023;;19/03/2025
BABRA ;BABRA-2BRD-2        ;LT  230 kV BARREIRAS            / BARREIRAS II         C 2  BA          ;LTR;BASICA         ;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;14524/23  ;;;;;;;0.38;2.00;4;1;;230;30/12/2024;;05/11/2025
BABRA ;BABRA-2RGD-2        ;LT  230 kV BARREIRAS            / RIO GRANDE II        C 2  BA          ;LTR;BASICA         ;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;14524/23  ;;;;;;;2.83;12.27;24;1;;230;30/12/2024;;05/11/2025
BAJZT ;BAJZT-5USB-2        ;LT  500 kV JUAZEIRO III         / U.SOBRADINHO         C Z5 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;8328/19   ;2500;3150;2500;2500;;BB;0.04;0.46;46;0;;500;31/12/2018;;02/06/2026
BAJZT ;BAJZT-5ULG-2PE      ;LT  500 kV JUAZEIRO III         / US. L.GONZAGA        C C4 BA/PE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;8328/19   ;2500;3180;2500;2500;;BB;0.28;3.54;365;0;;500;30/12/2023;;02/06/2026
PERCD ;PERCD-5SUD-3        ;LT  500 kV RECIFE II            / SUAPE II             C L4 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;8328/19   ;2524;3180;2524;3180;;;0.04;0.54;57;43;;500;30/12/2023;26/05/2025;30/03/2025
PEAGD ;PEAGD-5SUD-1        ;LT  500 kV ANGELIM II           / SUAPE II             C L9 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;8328/19   ;2524;3180;2524;3180;;;0.18;2.23;230;52;;500;30/12/2023;26/05/2025;30/04/2025
PISJI ;PISJI-2LDB-M3       ;LT  230 kV S.JOAO PIAUI         / LAGOA BARRO I        C M3 PI          ;LTR;COMPLEMENTAR   ;LAGOA DO BARRO I ENERGIAS RENOVÁVEIS S.A.                      ;;;;;;;;0.60;5.70;22;88;;230;;27/10/2018;31/08/2018
CEPTM ;CEPTM-2RSD-1        ;LT  230 kV PITOMBEIRA           / RUSSAS II            C P2 CE          ;LTR;COMPLEMENTAR   ;ENERGIA DOS VENTOS I S.A                                       ;;;;;;;;1.23;6.07;12;63;;230;;22/12/2018;30/09/2018
RNGLH ;RNGLH-2MIT-1        ;LT  230 kV GALINHOS             / MIASSABA 3           C P1 RN          ;LTR;COMPLEMENTAR   ;Brasventos Eolo Gerador de Energia S.A                         ;;;;;;;;0.80;3.80;7;40;;230;;01/02/2014;30/06/2014
CEUTPD;CEUTPD2PCM-1        ;LT  230 kV PORTO PECEM II       / ENERGIA PECEM        C 1  CE          ;LTR;COMPLEMENTAR   ;PECEM II GERAÇÃO DE ENERGIA SA                                 ;;;;;;;;0.00;0.01;0;0;;230;;01/12/2012;31/03/2013
PBEPA ;PBEPA-2UTP-1        ;LT  230 kV EPASA                / TERMOPARAIBA         C A1 PB          ;LTR;COMPLEMENTAR   ;CENTRAIS ELÉTRICAS DA PARAÍBA S.A                              ;;;;;;;;0.01;0.01;0;0;;230;;13/01/2011;31/01/2011
PBEPA ;PBEPA-2UTN-1        ;LT  230 kV EPASA                / TERMONORDESTE        C B1 PB          ;LTR;COMPLEMENTAR   ;CENTRAIS ELÉTRICAS DA PARAÍBA S.A                              ;;;;;;;;0.01;0.01;0;0;;230;;24/12/2010;31/01/2011
BAUGU ;BAUGU-2GBL-2        ;LT  230 kV UTE GLOBAL I         / GLOBAL               C T2 BA          ;LTR;COMPLEMENTAR   ;COMPANHIA ENERGETICA CANDEIAS                                  ;;;;;;;;0.01;0.01;0;0;;230;;07/05/2010;30/06/2010
BAUGU ;BAUGU-2GBL-1        ;LT  230 kV UTE GLOBAL I         / GLOBAL               C T1 BA          ;LTR;COMPLEMENTAR   ;COMPANHIA ENERGETICA CANDEIAS                                  ;;;;;;;;0.01;0.01;0;0;;230;;07/05/2010;30/06/2010
BAUGD ;BAUGD-2GBL-2        ;LT  230 kV UTE GLOBAL II        / GLOBAL               C T4 BA          ;LTR;COMPLEMENTAR   ;COMPANHIA ENERGETICA CANDEIAS                                  ;;;;;;;;0.01;0.01;0;0;;230;;20/05/2010;30/06/2010
BAUGD ;BAUGD-2GBL-1        ;LT  230 kV UTE GLOBAL II        / GLOBAL               C T3 BA          ;LTR;COMPLEMENTAR   ;COMPANHIA ENERGETICA CANDEIAS                                  ;;;;;;;;0.01;0.01;0;0;;230;;20/05/2010;30/06/2010
BAUSD ;BAUSD-2ABX-1        ;LT  230 kV P. AFONSO II         / ABAIXADORA           C J4 BA          ;LTR;COMPLEMENTAR   ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;;;;;;0.00;0.01;0;1;;230;;31/12/1990;
CECAL ;CECAL-2QXR-1        ;LT  230 kV CALCARIO             / QUIXERE              C P1 CE          ;LTR;COMPLEMENTAR   ;APODI I ENERGIA SPE S/A                                        ;;;;;;;;0.01;0.03;0;1;;230;;28/11/2018;30/06/2018
BAALG ;BAALD-2CTU-1        ;LT  230 kV ALAGOINHAS II        / CATU                 C 1  BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;12983/22  ;;;;;;;;;;1;;230;31/08/2021;;11/11/2025
BABAR ;BABAR-5BTR-1        ;LT  500 kV BARRA II             / BURITIRAMA           C 1  BA          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;jan/23;;;;;;;0.07;1.15;167;108;;500;30/12/2022;;29/03/2029
BABAR ;BABAR-5CORT1        ;LT  500 kV BARRA II             / CORRENTINA           C 1  BA          ;LTR;BASICA         ;;jan/23;;;;;;;0.15;2.13;623;285;;500;30/12/2022;;30/12/2022
BABJD ;BABJD-5CORT1        ;LT  500 kV BOM.JES.LAPA II      / CORRENTINA           C 1  BA          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;jan/23;;;;;;;0.12;1.75;250;0;;500;30/12/2022;;30/12/2022
BABRA ;BABRA-2BRD-3        ;LT  230 kV BARREIRAS            / BARREIRAS II         C L8 BA          ;LTR;BASICA         ;RIALMA TRANSMISSORA DE ENERGIA IV LTDA.                        ;002/2021  ;1440;2000;1440;2000;;;0.14;1.21;5;147;;230;31/01/2024;07/08/2023;30/09/2025
BACF2 ;BACFO-5BAR-1        ;LT  500 kV CAMPO FORMOSOII      / BARRA II             C 1  BA          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;jan/23;;;;;;;0.21;3.27;491;312;;500;30/12/2022;;28/03/2029
BACORT;BACORT5RDE-1        ;LT  500 kV CORRENTINA           / RIO DAS EGUAS        C 1  BA          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;jan/23;;;;;;;0.12;1.75;250;0;;500;30/12/2022;;30/12/2022
BAIGT ;BAIGT-5JUSS1        ;LT  500 kV IGAPORA III          / JUSSIAPE             C 1  BA          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;jan/24;;;;;;;0.10;1.64;239;1;;500;30/12/2022;;30/12/2022
BAJUSS;BAJUSS5ICA-1        ;LT  500 kV JUSSIAPE             / IBICOARA             C 1  BA          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;jan/24;;;;;;;0.02;0.25;36;1;;500;30/12/2022;;30/12/2022
BAJZT ;BAJZT-5CFO-1        ;LT  500 kV JUAZEIRO III         / CAMPO FORMOSOII      C 1  BA          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;jan/23;;;;;;;0.07;1.08;157;101;;500;30/12/2022;;29/03/2029
BAMDN2;BAMDN22TFD-1        ;LT  230 kV MEDEIROS NETOII      / TEIX FREITAS II      C N7 BA          ;LTR;BASICA         ;NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.          ;001/2020  ;885;1200;885;1200;;;0.74;5.20;10;57;;230;30/12/2020;03/02/2024;06/12/2023
BAALG ;BAOLD-2ALD-1        ;LT  230 kV ALAGOINHAS II        / OLINDINA             C L8 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;12983/22  ;;;;;;;0.44;1.15;3;1;;230;31/08/2021;;11/11/2025
BAOLD ;BAOLD-2ITH-1SE      ;LT  230 kV OLINDINA             / ITABAIANINHA         C 1  BA/SE       ;LTR;BASICA         ;SERRA NEGRA TRANSMISSÃO DE ENERGIA S.A.                        ;001/2022  ;1465;2035;1465;2035;;;;;;73;;230;31/10/2021;;30/03/2026
